Time,Value,Over Threshold
11:37:27.027691,0.021,False
11:37:27.121473,0.108,False
11:37:27.221467,0.195,False
11:37:27.321536,0.282,False
11:37:27.421432,0.369,False
11:37:27.521446,0.457,False
11:37:27.621608,0.522,False
11:37:27.721578,0.523,False
11:37:27.821496,0.523,False
11:37:27.921521,0.523,False
11:37:28.021501,0.523,False
11:37:28.125688,0.481,False
11:37:28.221552,0.480,False
11:37:28.321525,0.479,False
11:37:28.421544,0.479,False
11:37:28.521698,0.478,False
11:37:28.621458,0.477,False
11:37:28.721522,0.516,False
11:37:28.821549,0.516,False
11:37:28.921617,0.515,False
11:37:29.021498,0.514,False
11:37:29.121497,0.509,False
11:37:29.221499,0.505,False
11:37:29.321533,0.499,False
11:37:29.421512,0.495,False
11:37:29.521512,0.489,False
11:37:29.621492,0.486,False
11:37:29.721605,0.485,False
11:37:29.821515,0.484,False
11:37:29.921515,0.484,False
11:37:30.021530,0.484,False
11:37:30.121638,0.487,False
11:37:30.221521,0.484,False
11:37:30.321516,0.485,False
11:37:30.421544,0.486,False
11:37:30.521498,0.486,False
11:37:30.621542,0.485,False
11:37:30.721518,0.483,False
11:37:30.821516,0.485,False
11:37:30.921633,0.485,False
11:37:31.021507,0.484,False
11:37:31.121496,0.485,False
11:37:31.221480,0.484,False
11:37:31.321614,0.484,False
11:37:31.421505,0.482,False
11:37:31.521503,0.479,False
11:37:31.631075,0.400,False
11:37:31.721490,0.397,False
11:37:31.821481,0.395,False
11:37:31.921493,0.392,False
11:37:32.021505,0.390,False
11:37:32.121610,0.390,False
11:37:32.221540,0.466,False
11:37:32.321519,0.465,False
11:37:32.421507,0.463,False
11:37:32.521616,0.462,False
11:37:32.621485,0.459,False
11:37:32.721500,0.455,False
11:37:32.821504,0.452,False
11:37:32.921495,0.450,False
11:37:33.021516,0.448,False
11:37:33.121502,0.443,False
11:37:33.221485,0.441,False
11:37:33.321590,0.441,False
11:37:33.421492,0.440,False
11:37:33.521512,0.438,False
11:37:33.621524,0.438,False
11:37:33.721612,0.439,False
11:37:33.821506,0.437,False
11:37:33.921501,0.434,False
11:37:34.021706,0.434,False
11:37:34.121472,0.432,False
11:37:34.221507,0.431,False
11:37:34.321498,0.429,False
11:37:34.421489,0.429,False
11:37:34.521621,0.428,False
11:37:34.621511,0.425,False
11:37:34.721492,0.425,False
11:37:34.821469,0.423,False
11:37:34.921613,0.423,False
11:37:35.021502,0.422,False
11:37:35.121511,0.421,False
11:37:35.221466,0.420,False
11:37:35.321522,0.419,False
11:37:35.421492,0.418,False
11:37:35.521524,0.416,False
11:37:35.632501,0.347,False
11:37:35.721603,0.348,False
11:38:58.962451,0.000,False
11:38:59.056716,0.001,False
11:38:59.156572,0.001,False
11:38:59.256508,0.001,False
11:38:59.356478,0.001,False
11:38:59.456517,0.002,False
11:38:59.556516,0.002,False
11:38:59.656482,0.002,False
11:38:59.756481,0.002,False
11:38:59.856608,0.002,False
11:38:59.956638,0.002,False
11:39:00.060635,0.002,False
11:39:00.156536,0.002,False
11:39:00.256515,0.002,False
11:39:00.356646,0.002,False
11:39:00.456537,0.002,False
11:39:00.556535,0.002,False
11:39:00.656482,0.002,False
11:39:00.756515,0.002,False
11:39:00.856468,0.002,False
11:39:00.956488,0.002,False
11:39:01.056544,0.002,False
11:39:01.156596,0.002,False
11:39:01.256496,0.002,False
11:39:01.356501,0.002,False
11:39:01.456481,0.002,False
11:39:01.556606,0.002,False
11:39:01.656478,0.002,False
11:39:01.756491,0.002,False
11:39:01.856509,0.002,False
